filename,bandgap,formation_energy
0.cif,0.0,-0.5754582908333337
1.cif,0.013700000000000045,0.04714580166666682
2.cif,0.0,-0.5532329241666663
3.cif,3.8449999999999998,-3.6106550584999995
4.cif,0.0,-1.2475722735317458
5.cif,1.5476,-1.0920978202777778
6.cif,0.3403999999999998,-1.8774201484895834
7.cif,2.3110999999999997,-1.4380238427500012
8.cif,0.0,-0.44996852049999914
9.cif,0.020500000000000185,-0.6510111764999991
10.cif,0.0,-0.845481035
11.cif,2.068,-1.6841958541520001
12.cif,0.0,-2.0275302078616666
13.cif,4.4962,-1.0173992242500005
14.cif,0.0,-0.14723088999999945
15.cif,2.8773,-0.29509862767199946
16.cif,1.3206,-1.6226406130066666
17.cif,3.8457000000000003,-3.033953925
18.cif,0.0042999999999997485,-2.308723577575001
19.cif,4.31,-2.154116879215834
20.cif,0.40979999999999994,-1.4078088982499999
21.cif,1.7578999999999998,-0.7252706154687498
22.cif,0.011799999999999922,-2.3002130834940466
23.cif,2.3804,-2.574715864021165
24.cif,2.7291,-2.4013623056216935
25.cif,1.8283000000000005,-1.8058567801562504
26.cif,4.5897,-3.3787514216666663
27.cif,1.2459000000000002,-3.353900320084167
28.cif,0.0,-1.2480071208984373
29.cif,1.2583000000000002,-3.238988097416667
30.cif,0.07480000000000064,-0.6610605330672269
31.cif,0.010900000000000354,-2.559624313522725
32.cif,1.2714000000000003,-1.768406189634354
33.cif,1.271,-2.3855199713582254
34.cif,4.0225,-2.330950088611111
35.cif,2.8477,-2.9718420074999994
36.cif,0.0,-0.6708605384090912
37.cif,2.6402,-2.2536495996590897
38.cif,4.9199,-3.111899956342592
39.cif,3.5377,-1.9986092754739992
40.cif,2.9145,-2.259111208556666
41.cif,3.9798,-3.1200764108823527
42.cif,2.4655,-1.4315249835989288
43.cif,2.1498,-2.657366081442308
44.cif,0.0,-0.4274411044999994
45.cif,0.0,-0.8100967031250002
46.cif,0.0,-0.42852679857142867
47.cif,0.0,-0.6545909225000001
48.cif,0.0,-0.1955303514035089
49.cif,0.0,-0.6558207889115651
50.cif,0.0,-0.13672261062500013
51.cif,4.3253,-0.3001509677674994
52.cif,2.5885,-1.8069296967990918
53.cif,5.2848,-1.8149935950609533
54.cif,5.4044,-2.2360231856669053
55.cif,0.0,-0.6226860945588241
56.cif,0.0,-1.664728049722222
57.cif,1.0359000000000003,-0.5133507983333331
58.cif,0.7166999999999999,-1.1549291074760006
59.cif,3.0835,-1.5998783947254542
60.cif,4.0278,-2.163006050576923
61.cif,2.8606,-3.203714587083333
62.cif,0.0,-1.5913337669791667
63.cif,3.2716,-2.249745545277778
64.cif,1.8758999999999997,-2.3741561434210525
65.cif,3.6833,-3.877559641217273
66.cif,0.3370999999999995,-2.7279460091145844
67.cif,4.0435,-2.5681169856200405
68.cif,0.0,-1.6747655652272728
69.cif,0.21799999999999997,-2.6860258547088884
70.cif,3.234,-3.983555588
71.cif,3.461,-2.3698015306249998
72.cif,0.0,-2.297150151870748
73.cif,0.24839999999999973,-1.2314157826666672
74.cif,0.3831,-2.6490310967012256
75.cif,0.7562999999999999,-2.0409409732306667
76.cif,3.9595,-2.8183668780709876
77.cif,2.8560999999999996,-2.0123396375000007
78.cif,0.6044,-1.7176782912085713
79.cif,4.153499999999999,-2.6306123568727107
80.cif,0.0,-2.412208202620317
81.cif,2.5606000000000004,-2.810836248250001
82.cif,1.4436000000000002,-2.2040612367708334
83.cif,2.5120000000000005,-2.022903370955882
84.cif,2.0450999999999997,-2.753700987462
85.cif,0.0,-2.0505762516433323
86.cif,2.4718,-2.401153090313334
87.cif,0.0,-0.3740454237499993
88.cif,0.0517000000000003,-1.2820077349399996
89.cif,0.0,-0.6512545493749999
90.cif,0.0,-0.0933198824999999
91.cif,1.4839,-2.35787804999504
92.cif,0.06500000000000039,-0.30644259333333324
93.cif,1.4649,-2.504468227313988
94.cif,0.0,0.1719565125000001
95.cif,0.0,-0.001477183750000055
96.cif,0.0,-0.3636165425000002
97.cif,0.0,-0.9082082383333336
98.cif,0.0,0.10598315249999946
99.cif,0.0,-0.008654104583333933
NaCl.cif,8.5,-2.13
